Datetime,Time,P_ac
2018-06-18 10:10:00,2018-06-1810:10:00,3401
2018-06-18 10:05:00,2018-06-1810:05:00,3379
2018-06-18 10:00:00,2018-06-1810:00:00,3125
2018-06-18 09:55:00,2018-06-1809:55:00,881
2018-06-18 09:50:00,2018-06-1809:50:00,3149
2018-06-18 09:45:00,2018-06-1809:45:00,3105
2018-06-18 09:40:00,2018-06-1809:40:00,3095
2018-06-18 09:35:00,2018-06-1809:35:00,2412
2018-06-18 09:30:00,2018-06-1809:30:00,3041
2018-06-18 09:25:00,2018-06-1809:25:00,3040
2018-06-18 09:20:00,2018-06-1809:20:00,2894
2018-06-18 09:15:00,2018-06-1809:15:00,2948
2018-06-18 09:10:00,2018-06-1809:10:00,2941
2018-06-18 09:05:00,2018-06-1809:05:00,2090
2018-06-18 09:00:00,2018-06-1809:00:00,1440
2018-06-18 08:55:00,2018-06-1808:55:00,2725
2018-06-18 08:50:00,2018-06-1808:50:00,2594
2018-06-18 08:45:00,2018-06-1808:45:00,2576
2018-06-18 08:40:00,2018-06-1808:40:00,2480
2018-06-18 08:35:00,2018-06-1808:35:00,2399
2018-06-18 08:30:00,2018-06-1808:30:00,2286
2018-06-18 08:25:00,2018-06-1808:25:00,2150
2018-06-18 08:20:00,2018-06-1808:20:00,2073
2018-06-18 08:15:00,2018-06-1808:15:00,1787
2018-06-18 08:10:00,2018-06-1808:10:00,1239
2018-06-18 08:05:00,2018-06-1808:05:00,1254
2018-06-18 08:00:00,2018-06-1808:00:00,1257
2018-06-18 07:55:00,2018-06-1807:55:00,1358
2018-06-18 07:50:00,2018-06-1807:50:00,1487
2018-06-18 07:45:00,2018-06-1807:45:00,1555
2018-06-18 07:40:00,2018-06-1807:40:00,1472
2018-06-18 07:35:00,2018-06-1807:35:00,1389
2018-06-18 07:30:00,2018-06-1807:30:00,1232
2018-06-18 07:25:00,2018-06-1807:25:00,1214
2018-06-18 07:20:00,2018-06-1807:20:00,1135
2018-06-18 07:15:00,2018-06-1807:15:00,1048
2018-06-18 07:10:00,2018-06-1807:10:00,963
2018-06-18 07:05:00,2018-06-1807:05:00,873
2018-06-18 07:00:00,2018-06-1807:00:00,791
2018-06-18 06:55:00,2018-06-1806:55:00,776
2018-06-18 06:50:00,2018-06-1806:50:00,692
2018-06-18 06:45:00,2018-06-1806:45:00,618
2018-06-18 06:40:00,2018-06-1806:40:00,566
2018-06-18 06:35:00,2018-06-1806:35:00,406
2018-06-18 06:30:00,2018-06-1806:30:00,421
2018-06-18 06:25:00,2018-06-1806:25:00,511
2018-06-18 06:20:00,2018-06-1806:20:00,406
2018-06-18 06:15:00,2018-06-1806:15:00,266
2018-06-18 06:10:00,2018-06-1806:10:00,253
2018-06-18 06:05:00,2018-06-1806:05:00,196
2018-06-18 06:00:00,2018-06-1806:00:00,138
2018-06-18 05:55:00,2018-06-1805:55:00,41
2018-06-18 05:50:00,2018-06-1805:50:00,3
2018-06-18 05:45:00,2018-06-1805:45:00,0
2018-06-18 05:40:00,2018-06-1805:40:00,0
2018-06-18 05:35:00,2018-06-1805:35:00,0
2018-06-18 05:30:00,2018-06-1805:30:00,0
2018-06-18 05:25:00,2018-06-1805:25:00,0
2018-06-18 05:20:00,2018-06-1805:20:00,0
2018-06-18 05:15:00,2018-06-1805:15:00,0
2018-06-18 05:10:00,2018-06-1805:10:00,0
2018-06-18 05:05:00,2018-06-1805:05:00,0
2018-06-18 05:00:00,2018-06-1805:00:00,0
2018-06-18 04:55:00,2018-06-1804:55:00,0
2018-06-18 04:50:00,2018-06-1804:50:00,0
2018-06-18 04:45:00,2018-06-1804:45:00,0
2018-06-18 04:40:00,2018-06-1804:40:00,0
2018-06-18 04:35:00,2018-06-1804:35:00,0
2018-06-18 04:30:00,2018-06-1804:30:00,0
2018-06-18 04:25:00,2018-06-1804:25:00,0
2018-06-18 04:20:00,2018-06-1804:20:00,0
2018-06-18 04:15:00,2018-06-1804:15:00,0
2018-06-18 04:10:00,2018-06-1804:10:00,0
2018-06-18 04:05:00,2018-06-1804:05:00,0
2018-06-18 04:00:00,2018-06-1804:00:00,0
2018-06-18 03:55:00,2018-06-1803:55:00,0
2018-06-18 03:50:00,2018-06-1803:50:00,0
2018-06-18 03:45:00,2018-06-1803:45:00,0
2018-06-18 03:40:00,2018-06-1803:40:00,0
2018-06-18 03:35:00,2018-06-1803:35:00,0
2018-06-18 03:30:00,2018-06-1803:30:00,0
2018-06-18 03:25:00,2018-06-1803:25:00,0
2018-06-18 03:20:00,2018-06-1803:20:00,0
2018-06-18 03:15:00,2018-06-1803:15:00,0
2018-06-18 03:10:00,2018-06-1803:10:00,0
2018-06-18 03:05:00,2018-06-1803:05:00,0
2018-06-18 03:00:00,2018-06-1803:00:00,0
2018-06-18 02:55:00,2018-06-1802:55:00,0
2018-06-18 02:50:00,2018-06-1802:50:00,0
2018-06-18 02:45:00,2018-06-1802:45:00,0
2018-06-18 02:40:00,2018-06-1802:40:00,0
2018-06-18 02:35:00,2018-06-1802:35:00,0
2018-06-18 02:30:00,2018-06-1802:30:00,0
2018-06-18 02:25:00,2018-06-1802:25:00,0
2018-06-18 02:20:00,2018-06-1802:20:00,0
2018-06-18 02:15:00,2018-06-1802:15:00,0
2018-06-18 02:10:00,2018-06-1802:10:00,0
2018-06-18 02:05:00,2018-06-1802:05:00,0
2018-06-18 02:00:00,2018-06-1802:00:00,0
2018-06-18 01:55:00,2018-06-1801:55:00,0
2018-06-18 01:50:00,2018-06-1801:50:00,0
2018-06-18 01:45:00,2018-06-1801:45:00,0
2018-06-18 01:40:00,2018-06-1801:40:00,0
2018-06-18 01:35:00,2018-06-1801:35:00,0
2018-06-18 01:30:00,2018-06-1801:30:00,0
2018-06-18 01:25:00,2018-06-1801:25:00,0
2018-06-18 01:20:00,2018-06-1801:20:00,0
2018-06-18 01:15:00,2018-06-1801:15:00,0
2018-06-18 01:10:00,2018-06-1801:10:00,0
2018-06-18 01:05:00,2018-06-1801:05:00,0
2018-06-18 01:00:00,2018-06-1801:00:00,0
2018-06-18 00:55:00,2018-06-1800:55:00,0
2018-06-18 00:50:00,2018-06-1800:50:00,0
2018-06-18 00:45:00,2018-06-1800:45:00,0
2018-06-18 00:40:00,2018-06-1800:40:00,0
2018-06-18 00:35:00,2018-06-1800:35:00,0
2018-06-18 00:30:00,2018-06-1800:30:00,0
2018-06-18 00:25:00,2018-06-1800:25:00,0
2018-06-18 00:20:00,2018-06-1800:20:00,0
2018-06-18 00:15:00,2018-06-1800:15:00,0
2018-06-18 00:10:00,2018-06-1800:10:00,0
2018-06-18 00:05:00,2018-06-1800:05:00,0
2018-06-18 00:00:00,2018-06-1800:00:00,0
